sample_id,species,population,subspecies,city_region,country,lat,long,western_hemisphere,coverage,relatedness,inbreeding,PC1,PC2,cluster
ECR_37_3,A. mellifera,SoCal,SoCal-Zarate,California,U.S.A,32.895278,-117.086934,Y,16.1875,Unrelated,0.092822505,-0.038212533,0.026357412,8
ECR_39_1,A. mellifera,SoCal,SoCal-Zarate,California,U.S.A,32.895278,-117.086934,Y,12.5528,Related,0.162657538,-0.051710842,0.032498455,8
ECR_39_2,A. mellifera,SoCal,SoCal-Zarate,California,U.S.A,32.895278,-117.086934,Y,15.0466,Related,0.139953792,-0.055150149,0.035526871,8
ECR_39_3,A. mellifera,SoCal,SoCal-Zarate,California,U.S.A,32.895278,-117.086934,Y,18.7018,Unrelated,0.120131378,-0.050138661,0.034483819,8
ECR_4_1,A. mellifera,SoCal,SoCal-Zarate,California,U.S.A,32.895278,-117.086934,Y,16.543,Related,0.120116841,-0.044662712,0.022792394,8
ECR_4_2,A. mellifera,SoCal,SoCal-Zarate,California,U.S.A,32.895278,-117.086934,Y,16.5251,Unrelated,0.105692661,-0.044517714,0.029082618,8
ECR_4_3,A. mellifera,SoCal,SoCal-Zarate,California,U.S.A,32.895278,-117.086934,Y,18.241,Related,0.083597481,-0.043905156,0.021518831,8
ECR_40_1,A. mellifera,SoCal,SoCal-Zarate,California,U.S.A,32.895278,-117.086934,Y,16.3473,Related,0.098472109,-0.041085519,0.019674545,8
ECR_40_2,A. mellifera,SoCal,SoCal-Zarate,California,U.S.A,32.895278,-117.086934,Y,12.1486,Unrelated,0.222783208,-0.04678587,0.027121516,8
ECR_40_3,A. mellifera,SoCal,SoCal-Zarate,California,U.S.A,32.895278,-117.086934,Y,19.7119,Unrelated,0.089290313,-0.045030632,0.019027257,8
ECR_42_1,A. mellifera,SoCal,SoCal-Zarate,California,U.S.A,32.895278,-117.086934,Y,15.2278,Related,0.128455268,-0.047118359,0.030146404,8
ECR_42_2,A. mellifera,SoCal,SoCal-Zarate,California,U.S.A,32.895278,-117.086934,Y,12.2766,Unrelated,0.207750273,-0.052215713,0.031593027,8
ECR_42_3,A. mellifera,SoCal,SoCal-Zarate,California,U.S.A,32.895278,-117.086934,Y,17.8331,Unrelated,0.100259335,-0.047758824,0.025230978,8
ECR_44_1,A. mellifera,SoCal,SoCal-Zarate,California,U.S.A,32.895278,-117.086934,Y,13.9223,Unrelated,0.114290202,-0.042530764,0.024856468,8
